,RG,Sample,Chromosome,Start,End,Length.bp.,NumberofMarkers,Quality,Cummulative,Bold
21913,RG,SRR12009568_Tehran,chr7,34601626,34780897,179272,474,92.2,65353291,yes
18796,RG,SRR12009568_Tehran,chr14,5977255,6158040,180786,805,89.2,65534077,yes
18636,RG,SRR12009568_Tehran,chr11,64989830,65170817,180988,1432,96,65715065,yes
21219,RG,SRR12009568_Tehran,chr3,8550427,8731917,181491,583,94.8,65896556,yes
18521,RG,SRR12009568_Tehran,chr10,68618415,68799945,181531,1149,95.9,66078087,yes
21728,RG,SRR12009568_Tehran,chr6,10481153,10662696,181544,927,96.1,66259631,yes
19683,RG,SRR12009568_Tehran,chr20,29622121,29804437,182317,1040,94.6,66441948,yes
21658,RG,SRR12009568_Tehran,chr5,63367922,63550477,182556,817,93.7,66624504,yes
19342,RG,SRR12009568_Tehran,chr19,18047880,18230629,182750,999,96.1,66807254,yes
20980,RG,SRR12009568_Tehran,chr35,6858763,7041516,182754,1310,96.7,66990008,yes
18423,RG,SRR12009568_Tehran,chr10,16117719,16300645,182927,1303,92.8,67172935,yes
19788,RG,SRR12009568_Tehran,chr21,36409529,36592924,183396,774,96.5,67356331,yes
18811,RG,SRR12009568_Tehran,chr14,13786190,13969701,183512,620,87.1,67539843,yes
19003,RG,SRR12009568_Tehran,chr16,20616950,20800716,183767,832,93.4,67723610,yes
18437,RG,SRR12009568_Tehran,chr10,21914403,22098486,184084,852,80.7,67907694,yes
18453,RG,SRR12009568_Tehran,chr10,29133849,29319381,185533,1187,96.6,68093227,yes
19193,RG,SRR12009568_Tehran,chr17,56837263,57023105,185843,792,94.8,68279070,yes
21472,RG,SRR12009568_Tehran,chr4,55932951,56119271,186321,1271,96.6,68465391,yes
22043,RG,SRR12009568_Tehran,chr8,33748203,33934832,186630,988,95.7,68652021,yes
18660,RG,SRR12009568_Tehran,chr11,74201629,74389079,187451,1779,98,68839472,yes
20360,RG,SRR12009568_Tehran,chr28,6402495,6589963,187469,694,70.1,69026941,yes
21613,RG,SRR12009568_Tehran,chr5,31927699,32115302,187604,572,82.6,69214545,yes
20097,RG,SRR12009568_Tehran,chr25,6045554,6233672,188119,858,87.4,69402664,yes
19820,RG,SRR12009568_Tehran,chr22,5730583,5918709,188127,568,15.5,69590791,yes
19724,RG,SRR12009568_Tehran,chr20,56186355,56375091,188737,1855,96.8,69779528,yes
20170,RG,SRR12009568_Tehran,chr25,42344704,42533496,188793,1400,97,69968321,yes
21703,RG,SRR12009568_Tehran,chr5,85515175,85704330,189156,2011,97.5,70157477,yes
20025,RG,SRR12009568_Tehran,chr24,11697917,11887458,189542,304,89,70347019,yes
19431,RG,SRR12009568_Tehran,chr1,9965479,10155205,189727,1485,97.2,70536746,yes
19126,RG,SRR12009568_Tehran,chr17,18567210,18757332,190123,679,94.8,70726869,yes
19687,RG,SRR12009568_Tehran,chr20,32900083,33090226,190144,1085,91.1,70917013,yes
20132,RG,SRR12009568_Tehran,chr25,24528853,24719243,190391,1212,94.7,71107404,yes
21727,RG,SRR12009568_Tehran,chr6,10116401,10307059,190659,1292,96.4,71298063,yes
21205,RG,SRR12009568_Tehran,chr38,23454982,23645776,190795,2536,95.8,71488858,yes
20342,RG,SRR12009568_Tehran,chr27,37756390,37947372,190983,1133,95.4,71679841,yes
21888,RG,SRR12009568_Tehran,chr7,23101138,23292232,191095,575,81.8,71870936,yes
20152,RG,SRR12009568_Tehran,chr25,34697864,34889071,191208,884,95.5,72062144,yes
21271,RG,SRR12009568_Tehran,chr3,36409597,36600805,191209,1540,91.3,72253353,yes
19564,RG,SRR12009568_Tehran,chr1,80729949,80921279,191331,840,78.5,72444684,yes
18602,RG,SRR12009568_Tehran,chr11,44972078,45163485,191408,1061,96.1,72636092,yes
20149,RG,SRR12009568_Tehran,chr25,32723120,32914680,191561,1421,88.7,72827653,yes
18525,RG,SRR12009568_Tehran,chr11,3936075,4128127,192053,862,94.6,73019706,yes
19232,RG,SRR12009568_Tehran,chr18,10715089,10907394,192306,751,92.8,73212012,yes
21015,RG,SRR12009568_Tehran,chr35,16236404,16428731,192328,1085,96.1,73404340,yes
19125,RG,SRR12009568_Tehran,chr17,18254247,18446679,192433,646,94,73596773,yes
19845,RG,SRR12009568_Tehran,chr22,16730373,16922822,192450,1012,73.4,73789223,yes
22079,RG,SRR12009568_Tehran,chr8,57475720,57668480,192761,1521,96.5,73981984,yes
19288,RG,SRR12009568_Tehran,chr18,40238763,40431720,192958,1483,95.7,74174942,yes
19188,RG,SRR12009568_Tehran,chr17,54699311,54892280,192970,866,93.5,74367912,yes
19833,RG,SRR12009568_Tehran,chr22,11707303,11900611,193309,947,94.7,74561221,yes
21906,RG,SRR12009568_Tehran,chr7,31236138,31429631,193494,992,95.5,74754715,yes
18804,RG,SRR12009568_Tehran,chr14,11127886,11321686,193801,1147,96.9,74948516,yes
21384,RG,SRR12009568_Tehran,chr4,4934760,5128986,194227,841,94.2,75142743,yes
20746,RG,SRR12009568_Tehran,chr31,30648895,30843966,195072,1617,97.1,75337815,yes
21835,RG,SRR12009568_Tehran,chr7,2429525,2624959,195435,592,89.9,75533250,yes
21682,RG,SRR12009568_Tehran,chr5,77421263,77616803,195541,840,92.8,75728791,yes
19824,RG,SRR12009568_Tehran,chr22,7629748,7825414,195667,851,95.1,75924458,yes
20137,RG,SRR12009568_Tehran,chr25,28500813,28696561,195749,787,67.8,76120207,yes
20350,RG,SRR12009568_Tehran,chr27,43681215,43877798,196584,441,64,76316791,yes
19018,RG,SRR12009568_Tehran,chr16,27063142,27260373,197232,626,76.4,76514023,yes
21725,RG,SRR12009568_Tehran,chr6,9827550,10024924,197375,1263,88.4,76711398,yes
20910,RG,SRR12009568_Tehran,chr34,14371677,14569143,197467,541,91.7,76908865,yes
19868,RG,SRR12009568_Tehran,chr22,32116206,32314705,198500,1557,94.5,77107365,yes
21576,RG,SRR12009568_Tehran,chr5,12090330,12289616,199287,909,93.8,77306652,yes
19339,RG,SRR12009568_Tehran,chr19,15722121,15922304,200184,1097,96,77506836,yes
18717,RG,SRR12009568_Tehran,chr12,40609093,40809503,200411,832,84.3,77707247,yes
20919,RG,SRR12009568_Tehran,chr34,19489556,19690383,200828,1543,97.2,77908075,yes
20366,RG,SRR12009568_Tehran,chr28,10171752,10374720,202969,641,93.7,78111044,yes
18726,RG,SRR12009568_Tehran,chr12,43615155,43818698,203544,1090,94.6,78314588,yes
22059,RG,SRR12009568_Tehran,chr8,46612621,46816417,203797,807,65.3,78518385,yes
22037,RG,SRR12009568_Tehran,chr8,30215097,30419260,204164,1020,90.2,78722549,yes
21479,RG,SRR12009568_Tehran,chr4,58255121,58460255,205135,1255,77.4,78927684,yes
18961,RG,SRR12009568_Tehran,chr15,62557071,62762988,205918,2806,97.7,79133602,yes
21254,RG,SRR12009568_Tehran,chr3,30783496,30989667,206172,553,83.9,79339774,yes
19972,RG,SRR12009568_Tehran,chr23,32453521,32660360,206840,732,62.5,79546614,yes
19035,RG,SRR12009568_Tehran,chr16,34830912,35038630,207719,557,88.8,79754333,yes
18896,RG,SRR12009568_Tehran,chr15,30014497,30222427,207931,1556,97.1,79962264,yes
18615,RG,SRR12009568_Tehran,chr11,49987455,50195596,208142,1036,96.6,80170406,yes
20123,RG,SRR12009568_Tehran,chr25,19786166,19995195,209030,678,59.6,80379436,yes
19279,RG,SRR12009568_Tehran,chr18,38022222,38231524,209303,1580,94.5,80588739,yes
20834,RG,SRR12009568_Tehran,chr32,38008605,38218383,209779,838,94.3,80798518,yes
18551,RG,SRR12009568_Tehran,chr11,19762965,19974080,211116,669,93.6,81009634,yes
18701,RG,SRR12009568_Tehran,chr12,31498124,31709745,211622,1497,90.3,81221256,yes
20518,RG,SRR12009568_Tehran,chr2,19468218,19679943,211726,1333,89.1,81432982,yes
18724,RG,SRR12009568_Tehran,chr12,42950925,43162717,211793,1509,96.8,81644775,yes
22049,RG,SRR12009568_Tehran,chr8,41783318,41995353,212036,432,90.2,81856811,yes
20715,RG,SRR12009568_Tehran,chr31,16454401,16667157,212757,1775,97.4,82069568,yes
19435,RG,SRR12009568_Tehran,chr1,12736919,12950141,213223,1553,95.9,82282791,yes
18478,RG,SRR12009568_Tehran,chr10,43520505,43735025,214521,1128,91.9,82497312,yes
18505,RG,SRR12009568_Tehran,chr10,60363150,60577825,214676,493,95.2,82711988,yes
20349,RG,SRR12009568_Tehran,chr27,41959918,42174701,214784,666,93,82926772,yes
21249,RG,SRR12009568_Tehran,chr3,24309537,24524345,214809,750,89.9,83141581,yes
19694,RG,SRR12009568_Tehran,chr20,39480776,39697289,216514,615,90.4,83358095,yes
21435,RG,SRR12009568_Tehran,chr4,34942570,35159301,216732,2089,97.4,83574827,yes
20995,RG,SRR12009568_Tehran,chr35,10414846,10631652,216807,1622,96.4,83791634,yes
19341,RG,SRR12009568_Tehran,chr19,17607005,17824825,217821,717,93,84009455,yes
20348,RG,SRR12009568_Tehran,chr27,41580633,41799504,218872,830,82.8,84228327,yes
21503,RG,SRR12009568_Tehran,chr4,69661772,69880929,219158,1352,96.3,84447485,yes
18442,RG,SRR12009568_Tehran,chr10,24259595,24480551,220957,675,87.9,84668442,yes
18785,RG,SRR12009568_Tehran,chr12,72276650,72497693,221044,1763,98,84889486,yes
22010,RG,SRR12009568_Tehran,chr8,13801847,14023168,221322,913,96.4,85110808,yes
19369,RG,SRR12009568_Tehran,chr19,31132082,31353647,221566,865,92.3,85332374,yes
20684,RG,SRR12009568_Tehran,chr30,39380309,39602726,222418,1134,87,85554792,yes
20661,RG,SRR12009568_Tehran,chr30,28162117,28384692,222576,655,89.3,85777368,yes
21815,RG,SRR12009568_Tehran,chr6,68250271,68472905,222635,1285,96.2,86000003,yes
19542,RG,SRR12009568_Tehran,chr1,72342379,72565705,223327,1455,97,86223330,yes
20014,RG,SRR12009568_Tehran,chr24,3347174,3570560,223387,1183,94.7,86446717,yes
18673,RG,SRR12009568_Tehran,chr12,11727040,11950468,223429,887,95.9,86670146,yes
21166,RG,SRR12009568_Tehran,chr38,7308857,7533631,224775,1974,97.4,86894921,yes
21863,RG,SRR12009568_Tehran,chr7,11555644,11780689,225046,931,88,87119967,yes
21095,RG,SRR12009568_Tehran,chr37,2535323,2760701,225379,1456,96.8,87345346,yes
18537,RG,SRR12009568_Tehran,chr11,12155662,12382015,226354,1375,96.6,87571700,yes
20264,RG,SRR12009568_Tehran,chr27,252950,479761,226812,2787,96.2,87798512,yes
22005,RG,SRR12009568_Tehran,chr8,9856640,10084111,227472,1053,84.3,88025984,yes
19181,RG,SRR12009568_Tehran,chr17,49287693,49515364,227672,931,95.4,88253656,yes
20895,RG,SRR12009568_Tehran,chr34,3436958,3665873,228916,1256,95.9,88482572,yes
21912,RG,SRR12009568_Tehran,chr7,34267076,34496553,229478,923,94.1,88712050,yes
22075,RG,SRR12009568_Tehran,chr8,56104699,56334538,229840,2112,93,88941890,yes
21305,RG,SRR12009568_Tehran,chr3,53062263,53292598,230336,942,92.9,89172226,yes
18967,RG,SRR12009568_Tehran,chr16,474993,706475,231483,909,94.7,89403709,yes
19139,RG,SRR12009568_Tehran,chr17,25618592,25851235,232644,853,96.1,89636353,yes
20496,RG,SRR12009568_Tehran,chr2,3387851,3621442,233592,949,88.5,89869945,yes
19822,RG,SRR12009568_Tehran,chr22,6769227,7004132,234906,851,94,90104851,yes
21418,RG,SRR12009568_Tehran,chr4,23058283,23293928,235646,917,94,90340497,yes
19647,RG,SRR12009568_Tehran,chr20,5283460,5519268,235809,556,62.5,90576306,yes
21523,RG,SRR12009568_Tehran,chr4,77340044,77575863,235820,1728,97.3,90812126,yes
21924,RG,SRR12009568_Tehran,chr7,42306906,42542791,235886,836,95.4,91048012,yes
19861,RG,SRR12009568_Tehran,chr22,26869972,27106060,236089,1198,84,91284101,yes
20318,RG,SRR12009568_Tehran,chr27,26271963,26508683,236721,1224,96.5,91520822,yes
19315,RG,SRR12009568_Tehran,chr19,2714900,2951907,237008,809,68.6,91757830,yes
20020,RG,SRR12009568_Tehran,chr24,7454220,7691346,237127,1492,80.9,91994957,yes
18503,RG,SRR12009568_Tehran,chr10,59332842,59570236,237395,1662,97.3,92232352,yes
21570,RG,SRR12009568_Tehran,chr5,9992202,10232671,240470,1972,97,92472822,yes
20156,RG,SRR12009568_Tehran,chr25,36598421,36839597,241177,1962,95.7,92713999,yes
22166,RG,SRR12009568_Tehran,chr9,50023347,50264640,241294,2924,98.1,92955293,yes
19900,RG,SRR12009568_Tehran,chr22,50114263,50356097,241835,749,77.7,93197128,yes
21201,RG,SRR12009568_Tehran,chr38,22947639,23189642,242004,2744,97.6,93439132,yes
18451,RG,SRR12009568_Tehran,chr10,28250886,28493328,242443,650,94.1,93681575,yes
18638,RG,SRR12009568_Tehran,chr11,66016319,66258794,242476,1401,96.3,93924051,yes
18936,RG,SRR12009568_Tehran,chr15,50175797,50418289,242493,667,88.6,94166544,yes
21615,RG,SRR12009568_Tehran,chr5,32745377,32989397,244021,847,96,94410565,yes
18831,RG,SRR12009568_Tehran,chr14,25910176,26154825,244650,1110,96.8,94655215,yes
18563,RG,SRR12009568_Tehran,chr11,25461417,25707158,245742,910,95.5,94900957,yes
21402,RG,SRR12009568_Tehran,chr4,15014425,15260624,246200,1078,95.1,95147157,yes
21104,RG,SRR12009568_Tehran,chr37,8101814,8348454,246641,1547,96.5,95393798,yes
18409,RG,SRR12009568_Tehran,chr10,12024192,12271915,247724,1077,96,95641522,yes
18687,RG,SRR12009568_Tehran,chr12,21457781,21708864,251084,1746,97.8,95892606,yes
21998,RG,SRR12009568_Tehran,chr8,6283366,6534983,251618,1525,97,96144224,yes
18838,RG,SRR12009568_Tehran,chr14,28252799,28504768,251970,1817,96.6,96396194,yes
18534,RG,SRR12009568_Tehran,chr11,7559643,7811985,252343,1710,95.5,96648537,yes
19025,RG,SRR12009568_Tehran,chr16,30186145,30440042,253898,1873,97.5,96902435,yes
19300,RG,SRR12009568_Tehran,chr18,48129397,48384370,254974,2744,98,97157409,yes
18693,RG,SRR12009568_Tehran,chr12,26346088,26602557,256470,2045,97.3,97413879,yes
18978,RG,SRR12009568_Tehran,chr16,8570982,8828428,257447,939,96.1,97671326,yes
19217,RG,SRR12009568_Tehran,chr18,6049722,6307394,257673,1516,97,97928999,yes
18723,RG,SRR12009568_Tehran,chr12,42534403,42793052,258650,1685,96.7,98187649,yes
18440,RG,SRR12009568_Tehran,chr10,23128360,23388127,259768,1263,88,98447417,yes
21716,RG,SRR12009568_Tehran,chr6,5899749,6159918,260170,1455,95.2,98707587,yes
20021,RG,SRR12009568_Tehran,chr24,8406498,8667525,261028,1249,93.4,98968615,yes
18877,RG,SRR12009568_Tehran,chr15,6602318,6864444,262127,686,79.6,99230742,yes
21561,RG,SRR12009568_Tehran,chr5,7582425,7847198,264774,2156,97.2,99495516,yes
19047,RG,SRR12009568_Tehran,chr16,39875318,40140625,265308,2151,89,99760824,yes
21386,RG,SRR12009568_Tehran,chr4,6331941,6599209,267269,1452,94.1,100028093,yes
19515,RG,SRR12009568_Tehran,chr1,57241528,57509692,268165,1609,96.5,100296258,yes
21255,RG,SRR12009568_Tehran,chr3,31336816,31605141,268326,1726,96.9,100564584,yes
18927,RG,SRR12009568_Tehran,chr15,46073843,46343430,269588,921,95,100834172,yes
20389,RG,SRR12009568_Tehran,chr28,26057956,26329672,271717,1662,97.1,101105889,yes
21841,RG,SRR12009568_Tehran,chr7,5009385,5282108,272724,584,94,101378613,yes
18398,RG,SRR12009568_Tehran,chr10,5453999,5727340,273342,832,86,101651955,yes
19540,RG,SRR12009568_Tehran,chr1,71837891,72111728,273838,1374,95.2,101925793,yes
21539,RG,SRR12009568_Tehran,chr4,83881047,84154968,273922,2758,97.7,102199715,yes
19560,RG,SRR12009568_Tehran,chr1,79489854,79765426,275573,1768,94.2,102475288,yes
20571,RG,SRR12009568_Tehran,chr2,56229991,56506804,276814,2162,96,102752102,yes
19546,RG,SRR12009568_Tehran,chr1,73761377,74038605,277229,1173,95.3,103029331,yes
19143,RG,SRR12009568_Tehran,chr17,27317075,27594958,277884,2175,97,103307215,yes
20586,RG,SRR12009568_Tehran,chr2,67385138,67664186,279049,1421,92.9,103586264,yes
21379,RG,SRR12009568_Tehran,chr3,91577270,91857679,280410,1512,97.1,103866674,yes
19503,RG,SRR12009568_Tehran,chr1,53701005,53982630,281626,2380,95.9,104148300,yes
20638,RG,SRR12009568_Tehran,chr30,8256568,8538965,282398,1039,87.9,104430698,yes
21687,RG,SRR12009568_Tehran,chr5,79575501,79858507,283007,1421,97.4,104713705,yes
18700,RG,SRR12009568_Tehran,chr12,31057465,31342349,284885,2649,95.3,104998590,yes
22051,RG,SRR12009568_Tehran,chr8,42447807,42733080,285274,1426,91,105283864,yes
22030,RG,SRR12009568_Tehran,chr8,24993041,25279019,285979,1928,96.3,105569843,yes
21440,RG,SRR12009568_Tehran,chr4,39367700,39653997,286298,1450,94.8,105856141,yes
19623,RG,SRR12009568_Tehran,chr1,112767586,113054145,286560,1994,93.1,106142701,yes
19184,RG,SRR12009568_Tehran,chr17,51047770,51335240,287471,2035,96.1,106430172,yes
19628,RG,SRR12009568_Tehran,chr1,115777198,116064878,287681,1312,93.7,106717853,yes
20011,RG,SRR12009568_Tehran,chr24,2303300,2592688,289389,1134,92,107007242,yes
20894,RG,SRR12009568_Tehran,chr34,2588916,2878699,289784,1648,92.2,107297026,yes
19108,RG,SRR12009568_Tehran,chr17,3614883,3906096,291214,1554,96.7,107588240,yes
18713,RG,SRR12009568_Tehran,chr12,38208377,38499675,291299,2071,96.7,107879539,yes
21123,RG,SRR12009568_Tehran,chr37,17574918,17867868,292951,1940,96.8,108172490,yes
22147,RG,SRR12009568_Tehran,chr9,35315824,35609640,293817,918,93.1,108466307,yes
18921,RG,SRR12009568_Tehran,chr15,43135902,43430567,294666,1697,95.6,108760973,yes
20352,RG,SRR12009568_Tehran,chr28,26043,322011,295969,1068,90.5,109056942,yes
19432,RG,SRR12009568_Tehran,chr1,10913428,11211259,297832,2315,97.7,109354774,yes
18481,RG,SRR12009568_Tehran,chr10,45815690,46115858,300169,967,91.8,109654943,yes
19244,RG,SRR12009568_Tehran,chr18,18150267,18452810,302544,1705,95.2,109957487,yes
21839,RG,SRR12009568_Tehran,chr7,4410193,4713043,302851,1065,89.7,110260338,yes
19487,RG,SRR12009568_Tehran,chr1,43859066,44163012,303947,1725,97.3,110564285,yes
21031,RG,SRR12009568_Tehran,chr36,1027349,1331927,304579,1806,96.5,110868864,yes
21553,RG,SRR12009568_Tehran,chr5,249420,555279,305860,1595,92.3,111174724,yes
18904,RG,SRR12009568_Tehran,chr15,36396312,36702996,306685,1779,94.2,111481409,yes
19921,RG,SRR12009568_Tehran,chr23,2680350,2988221,307872,1237,95,111789281,yes
20222,RG,SRR12009568_Tehran,chr26,20594772,20908038,313267,2616,97.8,112102548,yes
18508,RG,SRR12009568_Tehran,chr10,62513339,62827897,314559,738,95.2,112417107,yes
21126,RG,SRR12009568_Tehran,chr37,21454247,21769446,315200,2625,97.8,112732307,yes
20780,RG,SRR12009568_Tehran,chr32,11811219,12126930,315712,1691,97.3,113048019,yes
21281,RG,SRR12009568_Tehran,chr3,41177855,41494617,316763,1370,78,113364782,yes
19474,RG,SRR12009568_Tehran,chr1,32447947,32765638,317692,1955,95.7,113682474,yes
20606,RG,SRR12009568_Tehran,chr2,78996213,79315852,319640,2361,97.3,114002114,yes
21524,RG,SRR12009568_Tehran,chr4,77584893,77905400,320508,2631,98,114322622,yes
21614,RG,SRR12009568_Tehran,chr5,32170227,32493022,322796,763,66.9,114645418,yes
20438,RG,SRR12009568_Tehran,chr29,6447596,6770843,323248,1697,97.8,114968666,yes
20873,RG,SRR12009568_Tehran,chr33,18959710,19283746,324037,1130,94.7,115292703,yes
18931,RG,SRR12009568_Tehran,chr15,47939238,48263939,324702,2336,97.4,115617405,yes
19753,RG,SRR12009568_Tehran,chr21,13114248,13439259,325012,2175,97.5,115942417,yes
22019,RG,SRR12009568_Tehran,chr8,20147251,20472798,325548,2544,97.8,116267965,yes
19417,RG,SRR12009568_Tehran,chr1,1427838,1754167,326330,1707,96.3,116594295,yes
21474,RG,SRR12009568_Tehran,chr4,56778806,57106269,327464,2072,96.7,116921759,yes
22190,RG,SRR12009568_Tehran,chr9,59544550,59875437,330888,1123,83.8,117252647,yes
18567,RG,SRR12009568_Tehran,chr11,27777703,28108642,330940,1191,85.2,117583587,yes
20235,RG,SRR12009568_Tehran,chr26,29030430,29363091,332662,2499,97.4,117916249,yes
20605,RG,SRR12009568_Tehran,chr2,77811845,78146134,334290,1123,94,118250539,yes
18903,RG,SRR12009568_Tehran,chr15,35986619,36321766,335148,1757,97.4,118585687,yes
21218,RG,SRR12009568_Tehran,chr3,8009762,8346867,337106,1290,94.2,118922793,yes
21108,RG,SRR12009568_Tehran,chr37,9903546,10240873,337328,1268,95.7,119260121,yes
18631,RG,SRR12009568_Tehran,chr11,59276619,59615104,338486,3174,96.9,119598607,yes
18980,RG,SRR12009568_Tehran,chr16,9065631,9404633,339003,958,95.1,119937610,yes
20822,RG,SRR12009568_Tehran,chr32,31647713,31989306,341594,1801,97.6,120279204,yes
21854,RG,SRR12009568_Tehran,chr7,9230252,9572708,342457,2234,97.6,120621661,yes
21242,RG,SRR12009568_Tehran,chr3,21827107,22171575,344469,1518,85.9,120966130,yes
21256,RG,SRR12009568_Tehran,chr3,32000979,32345665,344687,1948,97.9,121310817,yes
20368,RG,SRR12009568_Tehran,chr28,10953821,11299128,345308,2026,97.2,121656125,yes
21904,RG,SRR12009568_Tehran,chr7,30353802,30699992,346191,1508,96.5,122002316,yes
21919,RG,SRR12009568_Tehran,chr7,38362585,38713314,350730,1501,90.1,122353046,yes
19618,RG,SRR12009568_Tehran,chr1,111062824,111413660,350837,2270,97.1,122703883,yes
21884,RG,SRR12009568_Tehran,chr7,21241556,21593170,351615,972,94.1,123055498,yes
19858,RG,SRR12009568_Tehran,chr22,23847229,24199481,352253,2089,97.7,123407751,yes
21691,RG,SRR12009568_Tehran,chr5,82439615,82792468,352854,2163,97.7,123760605,yes
19893,RG,SRR12009568_Tehran,chr22,47107990,47460951,352962,2739,98,124113567,yes
21713,RG,SRR12009568_Tehran,chr6,425259,781593,356335,859,93.2,124469902,yes
19966,RG,SRR12009568_Tehran,chr23,29987801,30347385,359585,1463,95.4,124829487,yes
20205,RG,SRR12009568_Tehran,chr26,6144768,6505579,360812,1221,95.2,125190299,yes
19424,RG,SRR12009568_Tehran,chr1,6216027,6577359,361333,2614,94.5,125551632,yes
19873,RG,SRR12009568_Tehran,chr22,34491521,34858523,367003,1604,97.1,125918635,yes
20782,RG,SRR12009568_Tehran,chr32,12714121,13082279,368159,2622,97.9,126286794,yes
19654,RG,SRR12009568_Tehran,chr20,10303908,10673038,369131,2641,97.8,126655925,yes
19457,RG,SRR12009568_Tehran,chr1,23390430,23760001,369572,3634,97.5,127025497,yes
21441,RG,SRR12009568_Tehran,chr4,40757394,41127150,369757,1171,94,127395254,yes
20556,RG,SRR12009568_Tehran,chr2,42903683,43273643,369961,1404,96.9,127765215,yes
19819,RG,SRR12009568_Tehran,chr22,3972668,4345300,372633,980,86.3,128137848,yes
18901,RG,SRR12009568_Tehran,chr15,33397038,33770929,373892,1321,97.1,128511740,yes
18792,RG,SRR12009568_Tehran,chr14,4151521,4526700,375180,1105,69.3,128886920,yes
21836,RG,SRR12009568_Tehran,chr7,3079445,3456382,376938,1464,94.3,129263858,yes
19520,RG,SRR12009568_Tehran,chr1,59674330,60052174,377845,2552,97.8,129641703,yes
20778,RG,SRR12009568_Tehran,chr32,10534169,10919417,385249,2554,97.7,130026952,yes
20722,RG,SRR12009568_Tehran,chr31,17748799,18136687,387889,3321,96.7,130414841,yes
21616,RG,SRR12009568_Tehran,chr5,33678095,34067096,389002,1909,94.8,130803843,yes
19676,RG,SRR12009568_Tehran,chr20,22819386,23208572,389187,3173,98.2,131193030,yes
20039,RG,SRR12009568_Tehran,chr24,17179328,17571196,391869,1826,97.3,131584899,yes
19899,RG,SRR12009568_Tehran,chr22,49510713,49904035,393323,1200,96.8,131978222,yes
20094,RG,SRR12009568_Tehran,chr25,234966,629294,394329,1333,92.4,132372551,yes
20229,RG,SRR12009568_Tehran,chr26,24148979,24545174,396196,1972,97.1,132768747,yes
20785,RG,SRR12009568_Tehran,chr32,13761486,14158066,396581,3010,96.1,133165328,yes
20946,RG,SRR12009568_Tehran,chr34,29715863,30112806,396944,3737,97.3,133562272,yes
19130,RG,SRR12009568_Tehran,chr17,20856151,21253697,397547,2242,97.5,133959819,yes
22145,RG,SRR12009568_Tehran,chr9,33291008,33688630,397623,1703,96.8,134357442,yes
22146,RG,SRR12009568_Tehran,chr9,33989138,34390905,401768,1418,96.7,134759210,yes
21607,RG,SRR12009568_Tehran,chr5,30116414,30519962,403549,2039,96.8,135162759,yes
22048,RG,SRR12009568_Tehran,chr8,39617826,40027178,409353,1651,97.5,135572112,yes
21029,RG,SRR12009568_Tehran,chr36,451,410702,410252,1862,98.1,135982364,yes
18968,RG,SRR12009568_Tehran,chr16,708148,1119546,411399,1830,97.2,136393763,yes
19278,RG,SRR12009568_Tehran,chr18,37606812,38018546,411735,3194,97.8,136805498,yes
19271,RG,SRR12009568_Tehran,chr18,32469794,32883627,413834,3369,98,137219332,yes
21508,RG,SRR12009568_Tehran,chr4,71431430,71847097,415668,1304,96.8,137635000,yes
19736,RG,SRR12009568_Tehran,chr21,6427315,6844551,417237,2340,97.6,138052237,yes
19646,RG,SRR12009568_Tehran,chr20,3410395,3829405,419011,2272,96.4,138471248,yes
22180,RG,SRR12009568_Tehran,chr9,56624205,57044928,420724,2503,97.4,138891972,yes
19828,RG,SRR12009568_Tehran,chr22,8732164,9154204,422041,1363,95.1,139314013,yes
21471,RG,SRR12009568_Tehran,chr4,54773166,55197416,424251,2400,97.6,139738264,yes
21383,RG,SRR12009568_Tehran,chr4,4391458,4816877,425420,1463,85,140163684,yes
21770,RG,SRR12009568_Tehran,chr6,38835682,39261411,425730,1230,95.6,140589414,yes
20464,RG,SRR12009568_Tehran,chr29,22048607,22474886,426280,1534,97,141015694,yes
18402,RG,SRR12009568_Tehran,chr10,7874809,8304406,429598,1656,94.8,141445292,yes
19316,RG,SRR12009568_Tehran,chr19,3047514,3478908,431395,1510,96.1,141876687,yes
21554,RG,SRR12009568_Tehran,chr5,1019208,1454178,434971,2447,97.4,142311658,yes
20599,RG,SRR12009568_Tehran,chr2,74024616,74464041,439426,2559,97.4,142751084,yes
21619,RG,SRR12009568_Tehran,chr5,34476153,34917143,440991,2629,97.6,143192075,yes
21867,RG,SRR12009568_Tehran,chr7,14110653,14558076,447424,2178,97.3,143639499,yes
20577,RG,SRR12009568_Tehran,chr2,60582487,61031101,448615,3780,98.1,144088114,yes
22038,RG,SRR12009568_Tehran,chr8,30450646,30901602,450957,2158,97.1,144539071,yes
20656,RG,SRR12009568_Tehran,chr30,23588113,24040865,452753,1938,96.3,144991824,yes
18887,RG,SRR12009568_Tehran,chr15,9300213,9753789,453577,1568,94.3,145445401,yes
22021,RG,SRR12009568_Tehran,chr8,21052800,21507558,454759,3451,98,145900160,yes
20546,RG,SRR12009568_Tehran,chr2,33769059,34225671,456613,2984,96.8,146356773,yes
19393,RG,SRR12009568_Tehran,chr19,40621307,41079741,458435,2934,97.7,146815208,yes
20098,RG,SRR12009568_Tehran,chr25,7922545,8383348,460804,1848,85.3,147276012,yes
19612,RG,SRR12009568_Tehran,chr1,108849587,109317635,468049,1796,97.2,147744061,yes
19695,RG,SRR12009568_Tehran,chr20,41420175,41888460,468286,1720,95,148212347,yes
