Table S1.Sample list and associated metadata for newly sequenced and previously published canid genomes included in this study  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species Name,Species,Country of Origin,Location,Population of gray wolf,ID in associated study,Lat,Long,Depth,BioProject,BioSample,Study,Heterozygosity,F (inbreeding coefficient) ,Twisst pop group for central and east Asia,Twisst pop group for southwestern Asia,genetic load,fsc,,,,,,,,,,
Coyote,Canis latrans,North America,California,,BioSample:; Sample name: cac; SRA: SRS661477,,,29.41,PRJNA448733,SAMN02921301,vonHoldt et al. 2016,,,,,,,,,,,,,,,,
Coyote,Canis latrans,USA,Illinois,,,,,6.82,PRJNA448733,SAMN02921303 ,Plassais et al. 2019,,,,,,,,,,,,,,,,
Dog ,Canis lupus familaris,,Beagle,,CFA.117995,,,31.81,PRJNA448733,SAMN06159681,Mizzou Comparative Canine Resequencing (University of Missouri),,,,,,,,,,,,,,,,
Dog ,Canis lupus familaris,,Dauchound,,,,,35.07,PRJNA448733,SAMN06159676,Mizzou Comparative Canine Resequencing (University of Missouri),,,,,,,,,,,,,,,,
Dog ,Canis lupus familaris,,Jack Russell,,,,,25.2,PRJNA448733,SAMN04196852,Mizzou Comparative Canine Resequencing (University of Missouri),,,,,,,,,,,,,,,,
Dog ,Canis lupus familaris,,Shar Pei,,NGSDOG025,,,6.97,PRJNA448733,SAMN05356427,"University of Veterinary Medicine Hannover, Foundation",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
References ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auton A, YR Li, J Kidd, K Oliveria, J Nadel, JK Holloway, et al. 2013. Genetic recombination is targeted towards gene promoter regions in dogs. PLoS Genet 9(12): e1003984. https://doi.org/10.1371/journal.pgen.1003984
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hennelly LM, B Habib, H Modi, EK Rueness, P Gaubert, BN Sacks. 2021. Ancient divergence of Indian and Tibetan wolves revealed by recombination-aware phylogenomics. Molecular Ecology 30(24): 6687-6700. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang MS, M Thakur, Y Jhala, S Wang, Y Srinivas, SS Dai, et al. 2022. Genome sequencing of a gray wolf from Peninsular India provides new insights into the evolution and hybridization of gray wolves. Genome Biology and Evolution 14(20: evac012",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang MS, S Wang, Y Li, Y Jhala, M Thakur NO Otecko, et al. 2020. Ancient hybridization with an unknown population faciliated high-altitude adaptation of canids. Molecular Ecology and Evolution 37(9): 2616-2629. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang W, Fan Z, Han E, Hou R, Zhang L, Galaverni M, et al. 2014. Hypoxia adaptations in the grey wolf (Canis lupus chanco) from Qinghai-Tibet plateau. PLoS Genet 10:e1004466 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghanatsaman ZA, GD Wang, MA Fozi, YP Zhang, A Esmailizadeh. 2020. Genome resequencing data for Iranian local dogs and wolves. BMC Research Notes 13: 436",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fan Z, Silva P, Gronau I, Wang S, Armero AS, Schweizer RM, et al. 2016. Worldwide patterns of genomic variation and admixture in gray wolves. Genome Research 26:163-173. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gopalakrishnan S, Sinding MHS, Ramos-Madrigal J, Niemann J, Castuita JAS, Vieira FG, et al. 2018. Interspecific gene flow shaped the evolution of the genus Canis. Current Biology 28:3441-3449. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freedman AH, I Gronau, RM Schweizer, DOD Vecchyo, E Han, PM Silva, et al. 2014. Genome sequencing highlights the dynamic early history of dogs. PLoS Genet 10(1): e1004016. https://doi.org/10.1371/journal.pgen.1004016",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang GD, Zhai W, Yang HC, Fan R, Cao X, Zhong L, et al. 2013. The genomics of selection in dogs and the parallel evolution between dogs and humans. Nature Communications 4:1860. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang GD, Zhai W, Yang JC, Wang L, Zhong L, Liu YH. 2016. Out of southern East Asia: the natural history of domestic dogs across the world. Cell Research 26:21-33. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sinding MHS, Gopalakrishnan S, Vieira FG, Castruita JAS, Raundrup K, Jorgensen MPH, Meldgaard M, Petersen B, Sicheritz-Ponten T, Mikkelsen JB, et al. 2018. Population genomics of grey wolves and wolf-like canids in North America. PLoS Genet 14:e1007745. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"vonHoldt BM, JA Cahill, Z Fan, I Gronau, J Robinson, JP Pollinger, et al. 2016. Whole-genome sequence analysis shows that two endemic species of North American wolf are admixtures of the coyote and gray wolf. Science Advances 2(7): e1501714",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gou X, Z Wang, N Li, F Qiu, Z Xu, D Yan. 2014. Whole-genome sequencing of six dog breeds from continuous altitudes reveals adaptation to high-altitude hypoxia. Genome Research 24: 1308-1315. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang S, GD Wang, P Ma, L Zhang, TT Yin, Y Liu, et al. 2020. Genomic regions under selection in the feralization of the dingoes. Nature Communications 671 https://doi.org/10.1038/s41467-020-14515-6
",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang X, et al. Canine transmissible venereal tumor genome reveals ancient introgression from coyotes to pre-contact dogs in North America. Cell Research 29(7): 592-595",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hernandez-Alonso G, J Ramos-Madrigal, X Sun, CH Scharff-Olsen et al. 2023. Conservation implications of elucidating the Korean wolf taxonomic ambiguity through whole-genome sequencing. Ecology and Evolution",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciucani MM, J Ramos-Madrigal, G Hernandez-Alonso, A Carmagnini, SG Aninta, X Sun, et al. 2023. The extinct Sicilian wolf shows a complex history of isolation and admixture wiht ancient dogs. iScience 26(8): 107307",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu YH, L Wang, T Xu, X Guo, Y Li, TT Yin, HC Yang, Y Hu, AC Adeola, OJ Sanke, et al. 2018. Whole-genome sequencing of African dogs provides insights into adaptations against tropical parasites. Molecular Biology and Evolutionni 35(2): 287-298.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plassais J, Kim J, Davis MW, Karyadi DM, Hogan AN, Harris AC, Decker B, Parker HG, Ostrander EA. 2019. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nature Communications 10: 1489",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meadows JRS, Kidd JM, Wang GD, Parker HG, Schall PZ, Bianchi M, Christmas MJ, Mougiouri K, Buckley RM, Hitte C, et al. 2023. Genome sequencing of 2000 canids by the Dog10K consortium advances the understanding of demography, genome function, and architecture. 24: 187",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
